Drug	target
D02207	hsa:6339
D02207	hsa:3748
D02207	hsa:3782
D00761	hsa:6339
D00761	hsa:1137
D00761	hsa:3748
D00234	hsa:6339
D00234	hsa:3748
D00234	hsa:1137
D00351	hsa:6339
D00351	hsa:3748
D00351	hsa:1137
D00560	hsa:6339
D00560	hsa:116444
D00560	hsa:3748
D00617	hsa:6339
D00617	hsa:116444
D00617	hsa:3748
D00521	hsa:6339
D00521	hsa:116444
D00521	hsa:2906
D05024	hsa:6339
D05024	hsa:116444
D05024	hsa:2906
D00367	hsa:6339
D00367	hsa:1137
D00367	hsa:200909
D00512	hsa:1137
D00512	hsa:200909
D00512	hsa:1135
D00550	hsa:6339
D00550	hsa:1137
D00550	hsa:200909
D00593	hsa:8913
D00593	hsa:8911
D00593	hsa:8912
D00528	hsa:6339
D00528	hsa:1137
D00528	hsa:200909
D01453	hsa:6339
D01453	hsa:1137
D01453	hsa:200909
D02409	hsa:6339
D02409	hsa:1137
D02409	hsa:200909
D02630	hsa:6339
D02630	hsa:2906
D02630	hsa:116444
D01969	hsa:6339
D01969	hsa:116444
D01969	hsa:2906
D00227	hsa:6339
D00227	hsa:1137
D00227	hsa:1135
D01712	hsa:6339
D01712	hsa:1137
D01712	hsa:1135
D00225	hsa:6339
D00225	hsa:1137
D00225	hsa:200909
D00594	hsa:6339
D00594	hsa:8911
D00594	hsa:8913
D00530	hsa:6339
D00530	hsa:1137
D00530	hsa:3748
D02485	hsa:6339
D02485	hsa:116444
D02485	hsa:3748
D03037	hsa:6339
D03037	hsa:8913
D03037	hsa:8911
D00759	hsa:6339
D00759	hsa:1137
D00759	hsa:200909
D00474	hsa:6339
D00474	hsa:200909
D00474	hsa:1137
D02087	hsa:6339
D02087	hsa:3748
D02087	hsa:116444
D05077	hsa:6339
D05077	hsa:3748
D05077	hsa:116444
D00636	hsa:6339
D00636	hsa:1137
D00636	hsa:3748
D00765	hsa:6339
D00765	hsa:8911
D00765	hsa:8913
D00619	hsa:6339
D00619	hsa:6336
D00619	hsa:2906
D00336	hsa:6339
D00336	hsa:8913
D00336	hsa:8911
D00294	hsa:6339
D00294	hsa:1137
D00294	hsa:200909
D02546	hsa:6339
D02546	hsa:1137
D02546	hsa:1135
D00438	hsa:6339
D00438	hsa:116444
D00438	hsa:3748
D00456	hsa:6339
D00456	hsa:1137
D00456	hsa:3748
D00678	hsa:6339
D00678	hsa:1137
D00678	hsa:3748
D00349	hsa:6339
D00349	hsa:3748
D00349	hsa:116444
D00629	hsa:6339
D00629	hsa:3748
D00629	hsa:1137
D00464	hsa:6339
D00464	hsa:200909
D00464	hsa:1137
D02173	hsa:6339
D02173	hsa:3748
D02173	hsa:200909
D00533	hsa:6339
D00533	hsa:8913
D00533	hsa:8911
D01253	hsa:6339
D01253	hsa:1137
D01253	hsa:200909
D00335	hsa:8913
D00335	hsa:8911
D00335	hsa:8912
D00364	hsa:6339
D00364	hsa:116444
D00364	hsa:3748
D00964	hsa:6339
D00964	hsa:1137
D00964	hsa:200909
D02356	hsa:2906
D02356	hsa:2905
D02356	hsa:116444
D00647	hsa:6339
D00647	hsa:2906
D00647	hsa:2905
D02461	hsa:6339
D02461	hsa:1137
D02461	hsa:3748
D01295	hsa:6339
D01295	hsa:6336
D01295	hsa:6331
D00642	hsa:6339
D00642	hsa:3748
D00642	hsa:116444
D02261	hsa:6339
D02261	hsa:3748
D02261	hsa:116444
D02262	hsa:6339
