Drug	target
D00007	hsa:1553
D00007	hsa:1548
D00007	hsa:1549
D00417	hsa:10269
D00417	hsa:6646
D00417	hsa:1555
D03218	hsa:5145
D03218	hsa:8654
D03218	hsa:29941
D00038	hsa:1553
D00038	hsa:1549
D00038	hsa:6241
D00535	hsa:1553
D00535	hsa:5743
D00535	hsa:1549
D00234	hsa:1636
D00234	hsa:8654
D00234	hsa:5145
D04023	hsa:8654
D04023	hsa:5145
D04023	hsa:1636
D00097	hsa:10269
D00097	hsa:6646
D00097	hsa:1553
D01811	hsa:10269
D01811	hsa:6646
D01811	hsa:1553
D00055	hsa:23632
D00055	hsa:760
D00055	hsa:765
D01977	hsa:1636
D01977	hsa:5336
D01977	hsa:5335
D00530	hsa:5145
D00530	hsa:29941
D00530	hsa:5146
D04983	hsa:5743
D04983	hsa:1553
D04983	hsa:1549
D00964	hsa:5145
D00964	hsa:2677
D00964	hsa:5146
D00231	hsa:10269
D00231	hsa:6646
D00231	hsa:1555
D00036	hsa:1553
D00036	hsa:6241
D00036	hsa:1549
D00518	hsa:760
D00518	hsa:23632
D00518	hsa:9023
D00041	hsa:5743
D00041	hsa:1553
D00041	hsa:1548
D00049	hsa:1553
D00049	hsa:6241
D00049	hsa:1549
D00885	hsa:5145
D00885	hsa:5146
D00885	hsa:8654
D00103	hsa:765
D00103	hsa:23632
D00103	hsa:767
D02304	hsa:1553
D02304	hsa:5743
D02304	hsa:1549
D03781	hsa:5145
D03781	hsa:5146
D03781	hsa:29941
D03784	hsa:5145
D03784	hsa:5146
D03784	hsa:29941
D00566	hsa:1553
D00566	hsa:10269
D00566	hsa:6646
D00810	hsa:1553
D00810	hsa:10269
D00810	hsa:6646
D01441	hsa:8654
D01441	hsa:5145
D01441	hsa:5837
D00035	hsa:5743
D00035	hsa:1553
D00035	hsa:240
D00340	hsa:760
D00340	hsa:23632
D00340	hsa:377677
D00160	hsa:5743
D00160	hsa:1553
D00160	hsa:1549
D00387	hsa:5145
D00387	hsa:29941
D00387	hsa:5146
D03350	hsa:1636
D03350	hsa:7155
D03350	hsa:7153
D00377	hsa:23632
D00377	hsa:10269
D00377	hsa:760
D00225	hsa:5145
D00225	hsa:29941
D00225	hsa:5146
D00519	hsa:760
D00519	hsa:23632
D00519	hsa:9023
D02308	hsa:767
D02308	hsa:763
D02308	hsa:6241
D00039	hsa:5743
D00039	hsa:240
D00039	hsa:5146
D03252	hsa:7155
D03252	hsa:7153
D03252	hsa:1636
D03217	hsa:1636
D03217	hsa:7155
D03217	hsa:5335
D04025	hsa:1636
D04025	hsa:3416
D04025	hsa:5145
D01136	hsa:6646
D01136	hsa:1553
D01136	hsa:1549
D00021	hsa:6646
D00021	hsa:10269
D00021	hsa:1555
D00065	hsa:5146
D00065	hsa:5743
D00065	hsa:240
D02042	hsa:1555
D02042	hsa:29785
D02042	hsa:10269
D03751	hsa:1636
D03751	hsa:8654
D03751	hsa:5145
D00528	hsa:5146
D00528	hsa:5145
D00528	hsa:3416
D02335	hsa:6646
D02335	hsa:10269
D02335	hsa:1555
D03710	hsa:2677
D03710	hsa:29785
D03710	hsa:29941
D00562	hsa:6646
D00562	hsa:1553
D00562	hsa:1549
D00703	hsa:6646
D00703	hsa:10269
D00703	hsa:1553
D00027	hsa:6241
D00027	hsa:767
D00027	hsa:50484
D00584	hsa:767
D00584	hsa:765
D00584	hsa:6241
D00332	hsa:6646
D00332	hsa:1553
D00332	hsa:1549
D01133	hsa:29941
D01133	hsa:5145
D01133	hsa:8654
D01164	hsa:1636
D01164	hsa:7155
D01164	hsa:7153
D00653	hsa:760
D00653	hsa:23632
D00653	hsa:9023
D00655	hsa:760
D00655	hsa:23632
D00655	hsa:377677
D00217	hsa:6646
D00217	hsa:10269
D00217	hsa:1553
D00882	hsa:5145
D00882	hsa:5146
D00882	hsa:8654
D00416	hsa:5145
D00416	hsa:5146
D00416	hsa:8654
D00037	hsa:23632
D00037	hsa:29785
D00037	hsa:10269
D00670	hsa:1636
D00670	hsa:8654
D00670	hsa:5145
D02556	hsa:1636
D02556	hsa:8654
D02556	hsa:5145
D00538	hsa:760
D00538	hsa:9023
D00538	hsa:23632
D00826	hsa:6646
D00826	hsa:54490
D00826	hsa:1553
D03736	hsa:1553
D03736	hsa:1549
D03736	hsa:1573
D00501	hsa:1553
D00501	hsa:1573
D00501	hsa:1549
D00410	hsa:6646
D00410	hsa:10269
D00410	hsa:2677
D00654	hsa:760
D00654	hsa:23632
D00654	hsa:377677
D00550	hsa:29941
D00550	hsa:5145
D00550	hsa:1555
D03670	hsa:9023
D03670	hsa:79001
D03670	hsa:6716
D04024	hsa:7155
D04024	hsa:5145
D04024	hsa:1636
D01968	hsa:760
D01968	hsa:23632
D01968	hsa:377677
D01984	hsa:5145
D01984	hsa:29941
D01984	hsa:8654
D00656	hsa:760
D00656	hsa:23632
D00656	hsa:377677
D02321	hsa:29941
D02321	hsa:5145
D02321	hsa:8654
D03720	hsa:1553
D03720	hsa:1573
D03720	hsa:5145
D00563	hsa:1553
D00563	hsa:5145
D00563	hsa:1573
D03845	hsa:760
D03845	hsa:9023
D03845	hsa:23632
D00455	hsa:5145
D00455	hsa:29941
D00455	hsa:8654
D00218	hsa:760
D00218	hsa:377677
D00218	hsa:23632
D02229	hsa:1553
D02229	hsa:1573
D02229	hsa:1549
D02017	hsa:5146
D02017	hsa:5145
D02017	hsa:3416
D00107	hsa:7150
D00107	hsa:85313
D00107	hsa:5496
D02655	hsa:5145
D02655	hsa:5146
D02655	hsa:1553
D01690	hsa:1636
D01690	hsa:8654
D01690	hsa:5145
D00510	hsa:10269
D00510	hsa:1555
D00510	hsa:29785
D01198	hsa:1636
D01198	hsa:8654
D01198	hsa:3416
D02451	hsa:6646
D02451	hsa:5145
D02451	hsa:1555
D03778	hsa:6646
D03778	hsa:5145
D03778	hsa:1555
D00109	hsa:6646
D00109	hsa:10269
D00109	hsa:29785
D00829	hsa:1553
D00829	hsa:1573
D00829	hsa:1549
D02731	hsa:1553
D02731	hsa:1573
D02731	hsa:1549
D03260	hsa:1553
D03260	hsa:1573
D03260	hsa:1549
D01364	hsa:6646
D01364	hsa:10269
D01364	hsa:1555
D00032	hsa:1553
D00032	hsa:6646
D00032	hsa:1549
D02008	hsa:7150
D02008	hsa:8654
D02008	hsa:29941
D00496	hsa:5146
D00496	hsa:5145
D00496	hsa:2595
D00380	hsa:9023
D00380	hsa:29785
D00380	hsa:10269
D00139	hsa:6646
D00139	hsa:10269
D00139	hsa:1555
D00227	hsa:5146
D00227	hsa:5145
D00227	hsa:3416
D00371	hsa:5146
D00371	hsa:5145
D00371	hsa:3416
D01712	hsa:5146
D01712	hsa:5145
D01712	hsa:3416
D01071	hsa:29785
D01071	hsa:10269
D01071	hsa:1555
D01196	hsa:760
D01196	hsa:377677
D01196	hsa:23632
D01332	hsa:1555
D01332	hsa:1573
D01332	hsa:10269
D00960	hsa:6646
D00960	hsa:10269
D00960	hsa:1555
D00293	hsa:6646
D00293	hsa:10269
D00293	hsa:1555
D00652	hsa:760
D00652	hsa:377677
D00652	hsa:23632
D00183	hsa:29785
D00183	hsa:10269
D00183	hsa:1555
D00018	hsa:760
D00018	hsa:23632
D00018	hsa:765
D00596	hsa:1636
D00596	hsa:3416
D00596	hsa:5145
D00762	hsa:10269
D00762	hsa:6646
D00762	hsa:29785
D00322	hsa:5145
D00322	hsa:5146
D00322	hsa:8654
D00437	hsa:29785
D00437	hsa:10269
D00437	hsa:1589
D03717	hsa:29785
D03717	hsa:2677
D03717	hsa:10269
D00283	hsa:5145
D00283	hsa:5146
D00283	hsa:8654
D00274	hsa:1636
D00274	hsa:8972
D00274	hsa:7155
D01973	hsa:1636
D01973	hsa:1573
D01973	hsa:29941
D00184	hsa:84152
D00184	hsa:5496
D00184	hsa:85313
D05458	hsa:6646
D05458	hsa:10269
D05458	hsa:54490
D00568	hsa:9023
D00568	hsa:29785
D00568	hsa:10269
D00543	hsa:5146
D00543	hsa:5743
D00543	hsa:1553
D00125	hsa:7155
D00125	hsa:7153
D00125	hsa:8972
D00771	hsa:10269
D00771	hsa:760
D00771	hsa:6646
D00449	hsa:1555
D00449	hsa:1573
D00449	hsa:1582
D00086	hsa:6646
D00086	hsa:54490
D00086	hsa:1553
D00394	hsa:1553
D00394	hsa:1549
D00394	hsa:1573
D00043	hsa:1553
D00043	hsa:1549
D00043	hsa:1548
D00545	hsa:5146
D00545	hsa:5743
D00545	hsa:1553
D03899	hsa:7155
D03899	hsa:8972
D03899	hsa:7153
D01275	hsa:7155
D01275	hsa:8972
D01275	hsa:7153
D02214	hsa:7155
D02214	hsa:8972
D02214	hsa:7153
D03823	hsa:1636
D03823	hsa:8654
D03823	hsa:5145
D00505	hsa:6646
D00505	hsa:54490
D00505	hsa:10720
D02671	hsa:1636
D02671	hsa:5145
D02671	hsa:8654
D00401	hsa:5146
D00401	hsa:5145
D00401	hsa:2595
D00546	hsa:5146
D00546	hsa:5145
D00546	hsa:2595
D00503	hsa:7155
D00503	hsa:1636
D00503	hsa:7153
D04966	hsa:5146
D04966	hsa:5336
D04966	hsa:5335
D01264	hsa:7155
D01264	hsa:8972
D01264	hsa:7153
D00002	hsa:7155
D00002	hsa:55811
D00002	hsa:8972
D00574	hsa:29785
D00574	hsa:10269
D00574	hsa:9023
D00560	hsa:7155
D00560	hsa:8972
D00560	hsa:1636
D02709	hsa:9023
D02709	hsa:29785
D02709	hsa:10269
D00658	hsa:760
D00658	hsa:23632
D00658	hsa:377677
D03716	hsa:29785
D03716	hsa:10269
D03716	hsa:2677
D00709	hsa:5146
D00709	hsa:6646
D00709	hsa:1553
D01885	hsa:7155
D01885	hsa:7153
D01885	hsa:8972
D00533	hsa:10269
D00533	hsa:29785
D00533	hsa:9023
D00542	hsa:5743
D00542	hsa:240
D00542	hsa:5146
D00252	hsa:10269
D00252	hsa:6646
D00252	hsa:9023
D03034	hsa:6646
D03034	hsa:1553
D03034	hsa:1549
D00224	hsa:760
D00224	hsa:5146
D00224	hsa:761
D00158	hsa:6646
D00158	hsa:10269
D00158	hsa:29785
D02581	hsa:5145
D02581	hsa:1636
D02581	hsa:8654
D00132	hsa:10269
D00132	hsa:6646
D00132	hsa:29785
D02698	hsa:7155
