Drug	target
D01103	hsa:3361
D01103	hsa:3351
D01103	hsa:136
D00688	hsa:5737
D00688	hsa:5733
D00688	hsa:5031
D02070	hsa:5031
D02070	hsa:3361
D02070	hsa:3354
D00715	hsa:5031
D00715	hsa:3361
D00715	hsa:3352
D00443	hsa:3361
D00443	hsa:5031
D00443	hsa:3355
D00765	hsa:3361
D00765	hsa:3355
D00765	hsa:3351
D00232	hsa:5031
D00232	hsa:5737
D00232	hsa:3361
D01603	hsa:5737
D01603	hsa:2916
D01603	hsa:2918
D02237	hsa:5737
D02237	hsa:5733
D02237	hsa:2913
D01390	hsa:5737
D01390	hsa:5733
D01390	hsa:6915
D02066	hsa:5737
D02066	hsa:5733
D02066	hsa:6915
D02150	hsa:5737
D02150	hsa:5733
D02150	hsa:6915
D01020	hsa:5737
D01020	hsa:5733
D01020	hsa:2916
D01454	hsa:5737
D01454	hsa:2914
D01454	hsa:5031
D00954	hsa:5031
D00954	hsa:3361
D00954	hsa:5737
D00601	hsa:5737
D00601	hsa:2913
D00601	hsa:2914
D00635	hsa:5737
D00635	hsa:2913
D00635	hsa:2914
D02358	hsa:5737
D02358	hsa:2913
D02358	hsa:5031
D00559	hsa:5737
D00559	hsa:5733
D00559	hsa:2913
D01386	hsa:5737
D01386	hsa:5733
D01386	hsa:6915
D00483	hsa:5737
D00483	hsa:2913
D00483	hsa:2914
D00607	hsa:5737
D00607	hsa:2916
D00607	hsa:2917
D00332	hsa:5737
D00332	hsa:5733
D00332	hsa:6915
D00837	hsa:5737
D00837	hsa:4543
D00837	hsa:2914
D04625	hsa:5733
D04625	hsa:2913
D04625	hsa:2914
D05312	hsa:2913
D05312	hsa:5737
D05312	hsa:2918
D05113	hsa:2914
D05113	hsa:2913
D05113	hsa:2912
D00540	hsa:2914
D00540	hsa:2913
D00540	hsa:2918
D01352	hsa:2914
D01352	hsa:2913
D01352	hsa:2912
D00106	hsa:2914
D00106	hsa:2918
D00106	hsa:2912
D02566	hsa:5737
D02566	hsa:5031
D02566	hsa:4543
D00513	hsa:5737
D00513	hsa:2914
D00513	hsa:2916
D00779	hsa:5031
D00779	hsa:5737
D00779	hsa:2914
D00180	hsa:2914
D00180	hsa:2913
D00180	hsa:2916
D00079	hsa:2914
D00079	hsa:2913
D00079	hsa:2916
D00682	hsa:2914
D00682	hsa:2918
D00682	hsa:222545
D02374	hsa:2914
D02374	hsa:2913
D02374	hsa:2912
D02359	hsa:5737
D02359	hsa:2913
D02359	hsa:2914
D00598	hsa:5737
D00598	hsa:2914
D00598	hsa:2911
D00095	hsa:5737
D00095	hsa:5733
D00095	hsa:6915
D03621	hsa:5031
D03621	hsa:4543
D03621	hsa:554
D00410	hsa:5737
D00410	hsa:2914
D00410	hsa:2912
D01871	hsa:5031
D01871	hsa:4543
D01871	hsa:2911
D02342	hsa:2914
D02342	hsa:5737
D02342	hsa:2912
D00683	hsa:5733
D00683	hsa:2913
D00683	hsa:2914
D02147	hsa:5733
D02147	hsa:2913
D02147	hsa:2914
D00295	hsa:2913
D00295	hsa:2912
D00295	hsa:2917
D03503	hsa:2913
D03503	hsa:2914
D03503	hsa:2912
D00838	hsa:2913
D00838	hsa:2914
D00838	hsa:2916
D00645	hsa:5737
D00645	hsa:2918
D00645	hsa:2912
D05341	hsa:2914
D05341	hsa:2913
D05341	hsa:2916
D01022	hsa:2916
D01022	hsa:2912
D01022	hsa:2918
D00235	hsa:5737
D00235	hsa:2916
D00235	hsa:2918
D00432	hsa:2913
D00432	hsa:2914
D00432	hsa:5737
D01071	hsa:2913
D01071	hsa:2914
D01071	hsa:2550
D03365	hsa:5737
D03365	hsa:5733
D03365	hsa:2913
D02327	hsa:5737
D02327	hsa:2912
D02327	hsa:2918
D06396	hsa:2913
D06396	hsa:2918
D06396	hsa:2911
D02826	hsa:2914
D02826	hsa:2913
D02826	hsa:5737
D02721	hsa:2912
D02721	hsa:2918
D02721	hsa:2916
D02338	hsa:2914
D02338	hsa:2913
D02338	hsa:2917
D03187	hsa:2914
D03187	hsa:2913
D03187	hsa:2917
D00110	hsa:2914
D00110	hsa:2913
D00110	hsa:2916
D02278	hsa:5737
D02278	hsa:5733
D02278	hsa:6915
D02279	hsa:5737
D02279	hsa:5733
D02279	hsa:6915
D00419	hsa:2914
D00419	hsa:2913
D00419	hsa:2918
D00525	hsa:2913
D00525	hsa:2914
D00525	hsa:2918
D00094	hsa:2914
D00094	hsa:2913
D00094	hsa:2912
D00465	hsa:2914
D00465	hsa:2913
D00465	hsa:222545
D00632	hsa:2913
D00632	hsa:2914
D00632	hsa:2912
D03879	hsa:2913
D03879	hsa:2914
D03879	hsa:2912
D03881	hsa:2913
D03881	hsa:2914
D03881	hsa:2912
D00415	hsa:2914
D00415	hsa:2911
D00415	hsa:2915
D00498	hsa:2913
D00498	hsa:2914
D00498	hsa:5737
D00520	hsa:5031
D00520	hsa:2913
D00520	hsa:5733
D00440	hsa:2914
D00440	hsa:2911
D00440	hsa:2912
D01692	hsa:2914
D01692	hsa:2911
D01692	hsa:222545
D00760	hsa:3355
D00760	hsa:3351
D00760	hsa:2914
D00726	hsa:2913
D00726	hsa:2918
D00726	hsa:222545
D03490	hsa:2914
D03490	hsa:2913
D03490	hsa:2912
D00356	hsa:2914
D00356	hsa:2913
D00356	hsa:2912
D03858	hsa:5737
D03858	hsa:5031
D03858	hsa:2913
D00422	hsa:2914
D00422	hsa:2911
D00422	hsa:2916
D00673	hsa:2914
D00673	hsa:2913
D00673	hsa:2912
D00499	hsa:2913
D00499	hsa:2914
D00499	hsa:2918
D02614	hsa:2913
D02614	hsa:2914
D02614	hsa:2911
D00113	hsa:2918
D00113	hsa:2911
D00113	hsa:2917
D00394	hsa:5031
D00394	hsa:4543
D00394	hsa:2915
D00521	hsa:3361
D00521	hsa:3355
D00521	hsa:2914
